id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
0,-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,NEAR BAY,114800.0
1,-122.29,37.76,18.0,2873.0,763.0,1243.0,663.0,5.1702,NEAR BAY,265400.0
2,-118.48,34.23,29.0,3354.0,707.0,1752.0,650.0,4.5484,<1H OCEAN,239900.0
3,-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,NEAR BAY,257300.0
4,-121.93,36.63,33.0,1740.0,342.0,638.0,329.0,3.1912,NEAR OCEAN,319800.0
5,-122.06,37.64,33.0,1160.0,252.0,729.0,220.0,3.8259,NEAR BAY,146100.0
6,-117.94,33.77,32.0,714.0,142.0,654.0,154.0,4.5052,<1H OCEAN,170800.0
7,-117.93,33.9,30.0,2629.0,331.0,956.0,319.0,9.9071,<1H OCEAN,500001.0
8,-117.39,34.13,9.0,2228.0,398.0,1316.0,370.0,4.1632,INLAND,119800.0
9,-118.21,34.21,41.0,1676.0,263.0,757.0,255.0,4.7734,<1H OCEAN,450800.0
10,-118.17,34.66,9.0,1561.0,253.0,731.0,233.0,5.7049,INLAND,173200.0
11,-122.74,38.48,12.0,4174.0,670.0,1882.0,647.0,4.551,<1H OCEAN,178300.0
12,-119.19,34.17,35.0,4276.0,767.0,3295.0,708.0,4.2583,NEAR OCEAN,187300.0
13,-122.49,37.76,52.0,2564.0,502.0,1092.0,459.0,3.5302,NEAR BAY,329600.0
14,-117.2,32.8,36.0,4018.0,1067.0,1620.0,842.0,2.3599,NEAR OCEAN,168400.0
15,-117.12,32.69,37.0,1082.0,294.0,1146.0,265.0,2.0673,NEAR OCEAN,88500.0
16,-118.44,34.32,14.0,6235.0,1286.0,3568.0,1190.0,4.1724,<1H OCEAN,211600.0
17,-118.49,34.18,31.0,3073.0,674.0,1486.0,684.0,4.8984,<1H OCEAN,311700.0
18,-117.67,33.46,24.0,3571.0,722.0,1409.0,543.0,4.6518,<1H OCEAN,277800.0
19,-122.49,37.74,52.0,2189.0,433.0,1147.0,420.0,3.4583,NEAR OCEAN,321300.0
20,-117.81,33.73,19.0,5471.0,1345.0,2828.0,1247.0,3.5719,<1H OCEAN,252800.0
21,-117.95,33.8,34.0,1654.0,285.0,905.0,292.0,4.6389,<1H OCEAN,214600.0
22,-122.04,37.62,35.0,899.0,179.0,455.0,185.0,4.2857,NEAR BAY,190400.0
23,-122.48,37.69,33.0,2347.0,512.0,1259.0,481.0,3.4492,NEAR OCEAN,264300.0
24,-118.08,33.83,30.0,2188.0,556.0,2727.0,525.0,2.7759,<1H OCEAN,136800.0
25,-123.91,41.68,22.0,1880.0,360.0,743.0,314.0,2.9688,<1H OCEAN,152700.0
26,-117.25,32.82,23.0,6139.0,826.0,2036.0,807.0,9.5245,NEAR OCEAN,500001.0
27,-117.04,32.99,6.0,9518.0,1418.0,4413.0,1275.0,6.6012,<1H OCEAN,314900.0
28,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,NEAR BAY,95200.0
29,-118.19,33.93,44.0,1613.0,345.0,1227.0,342.0,3.1667,<1H OCEAN,145700.0
30,-121.45,38.55,19.0,3374.0,808.0,1412.0,753.0,1.4889,INLAND,77600.0
31,-118.51,34.28,29.0,4239.0,653.0,1890.0,631.0,6.3911,<1H OCEAN,301700.0
32,-118.29,34.16,42.0,413.0,107.0,349.0,107.0,4.3438,<1H OCEAN,189800.0
33,-118.27,34.46,10.0,2184.0,405.0,1119.0,370.0,4.7437,INLAND,294000.0
34,-120.32,37.29,38.0,576.0,,478.0,112.0,2.3382,INLAND,59600.0
35,-118.05,33.82,21.0,2997.0,372.0,1323.0,372.0,8.6123,<1H OCEAN,386700.0
36,-117.16,33.76,11.0,4934.0,929.0,2508.0,840.0,2.625,INLAND,155400.0
